INSPECTION_MONTH,INSPECTION_YEAR,MAKE,MODEL_YEAR,GVWR,CYL,ENGINE_SIZE,VEHICLE_TYPE,ODOMETER,TRANS_TYPE,FUEL_TYPE,ESC,DUAL_EXHAUST,INITIAL_RESULT,FINAL_RESULT
12,2015,TOYOTA,2003,3000,4,1800,2,169959,M,G,6,N,F,P
3,2015,CHEVROLET,2007,3375,4,2200,1,90663,A,G,6,N,P,P
1,2015,SUBARU,2006,3875,4,2500,2,136376,A,G,6,N,P,P
1,2015,CHEVROLET,2007,0,4,2400,2,160687,A,G,6,N,P,P
10,2015,FORD,2003,8800,10,6600,7,33672,A,G,20,N,P,P
3,2015,CHRYSLER,2007,3500,4,2400,2,35110,A,G,6,N,P,P
3,2015,FORD,2011,0,4,2500,1,77536,A,G,6,N,P,P
11,2015,FORD,2007,6180,6,4000,4,87695,A,G,20,N,P,P
9,2015,NISSAN,2013,5913,6,3500,4,44045,A,G,20,N,P,P
12,2015,CHRYSLER,2007,5600,6,3800,4,94348,A,G,20,N,F,F
6,2015,TOYOTA,2009,3000,4,1800,2,114619,A,G,6,N,P,P
5,2015,TOYOTA,2003,6200,8,4700,3,246439,A,G,20,N,P,P
11,2015,TOYOTA,2008,7100,8,5700,3,70511,A,G,20,N,P,P
1,2015,VOLKSWAGEN,2008,0,4,2500,1,75442,A,G,6,N,P,P
8,2015,CHEVROLET,2005,6500,8,5300,4,154864,A,G,20,N,P,P
10,2015,TOYOTA,1993,4000,4,2400,5,270435,A,G,11,N,P,P
7,2015,MAZDA,2008,2750,4,2000,1,42239,A,G,6,N,P,P
7,2015,CHEVROLET,2013,0,4,1400,1,47868,A,G,6,N,P,P
12,2015,HYUNDAI,2008,3125,4,2000,1,142377,A,G,6,N,P,P
8,2015,GMC,2012,5300,5,3700,3,18239,A,G,20,N,P,P
11,2015,OLDSMOBILE,2000,5350,6,4300,4,163650,A,G,20,N,P,P
1,2015,CHEVROLET,2003,7000,8,5300,3,172982,A,G,20,N,P,P
12,2015,DODGE,2012,0,4,2400,1,66057,A,G,6,N,P,P
9,2015,TOYOTA,2007,5350,6,4000,3,103989,A,G,20,N,P,P
2,2015,JEEP,2008,5900,6,3700,4,86624,A,G,20,N,P,P
4,2015,CHEVROLET,2010,2750,4,1600,1,62660,A,G,6,N,P,P
10,2015,FORD,2011,5380,6,3500,4,47261,A,G,20,N,P,P
2,2015,JEEP,2007,4900,6,3800,4,74974,M,G,20,N,P,P
10,2015,SCION,2007,0,4,2400,1,99510,M,G,6,N,P,P
11,2015,HONDA,2004,3500,4,2400,4,101613,M,G,20,N,P,P
5,2015,FORD,2013,4760,4,2000,4,50025,A,G,20,N,P,P
1,2015,DODGE,2013,0,4,2000,1,17918,A,G,6,N,P,P
8,2015,CHEVROLET,2001,4123,6,2500,4,195345,A,G,20,N,P,P
1,2015,DODGE,2013,0,4,2400,1,42618,A,G,6,N,P,P
10,2015,FORD,1998,4250,6,4200,3,127144,M,G,20,N,F,P
3,2015,DODGE,1998,3250,6,2500,1,169224,A,G,6,N,F,F
9,2015,HYUNDAI,2015,2625,4,1600,1,20479,A,G,6,N,P,P
3,2015,HYUNDAI,2010,3625,4,2400,1,80718,A,G,6,N,P,P
10,2015,MERCEDES-BENZ,1988,4000,8,5600,1,137834,A,G,4,N,P,P
5,2015,FORD,2007,4250,6,4000,3,74625,A,G,20,N,P,P
3,2015,TOYOTA,2012,3500,4,2500,1,37893,A,G,6,N,P,P
11,2015,CHEVROLET,1989,3500,6,2800,4,1164432,M,G,10,N,F,F
9,2015,FORD,1998,5550,6,4200,3,121856,A,G,20,N,P,P
6,2015,HYUNDAI,2010,3625,4,2400,1,88486,A,G,6,N,P,P
2,2015,CHRYSLER,2014,6050,6,3600,5,16700,A,G,20,N,P,P
2,2015,TOYOTA,2011,4430,4,2500,4,36673,A,G,20,N,P,P
11,2015,CHEVROLET,1986,8600,8,5700,7,61406,A,G,18,N,F,F
8,2015,HONDA,2001,5565,6,3500,5,141263,A,G,20,N,P,P
6,2015,VOLKSWAGEN,2004,3250,4,2000,1,147685,A,G,6,N,P,P
8,2015,FORD,2010,0,4,2400,1,93858,A,G,6,N,P,P
12,2015,TOYOTA,2012,0,4,1600,1,193977,A,G,6,N,P,P
5,2015,TOYOTA,2008,5570,6,4000,4,132481,A,G,20,N,P,P
1,2015,CHEVROLET,2012,6459,6,3600,4,26262,A,G,20,N,P,P
10,2015,TOYOTA,1986,5500,4,2400,3,274315,M,G,10,N,P,P
4,2015,DODGE,2008,6700,8,5700,3,200042,A,G,20,N,P,P
6,2015,HONDA,2007,6050,6,3500,3,34460,A,G,20,N,P,P
3,2015,DODGE,2007,4250,6,3300,5,63673,A,G,20,N,P,P
7,2015,FORD,2010,3375,6,4000,1,60732,A,G,6,N,P,P
11,2015,HONDA,1995,3125,6,2700,1,189395,A,G,5,N,P,P
6,2015,FORD,2008,6000,6,3800,4,48048,A,G,20,N,P,P
5,2015,CHEVROLET,1997,6000,6,4300,3,305277,A,G,20,N,P,P
1,2015,NISSAN,2006,2875,4,2500,1,77878,A,G,6,N,F,P
4,2015,NISSAN,2004,3875,6,3500,1,67180,A,G,6,N,P,P
7,2015,HYUNDAI,2001,3000,4,2000,1,104839,M,G,6,N,P,P
8,2015,KIA,2011,2750,4,1600,1,87847,A,G,6,N,P,P
9,2015,SATURN,2000,2625,4,1900,1,174790,A,G,6,N,P,P
5,2015,NISSAN,2012,0,4,1800,1,30066,A,G,6,N,P,P
3,2015,CHEVROLET,1994,8200,8,5700,3,336781,A,G,16,N,F,P
5,2015,MERCURY,2005,3625,6,3000,1,149282,A,G,6,N,P,P
5,2015,JEEP,2006,4250,8,4700,4,68492,A,G,20,N,P,P
9,2015,CHEVROLET,2006,3375,8,6000,1,27389,A,G,6,N,P,P
7,2015,BMW,2012,6050,6,3000,4,75474,A,G,20,N,P,P
1,2015,HONDA,2012,4464,4,2400,4,47563,A,G,20,N,P,P
6,2015,KIA,2011,0,4,2000,1,29155,A,G,6,N,P,P
7,2015,DODGE,2002,6010,6,3900,3,120147,A,G,20,N,F,P
7,2015,FORD,2009,3375,6,3900,1,52257,A,G,6,N,P,P
7,2015,CHEVROLET,2002,7001,8,5300,4,145915,A,G,20,N,P,P
6,2015,DODGE,2006,7500,6,5900,7,100582,A,D,20,N,P,P
6,2015,TOYOTA,2009,3500,4,2400,1,106422,A,G,6,N,P,P
4,2015,GMC,2007,7100,8,5300,4,156424,A,G,20,N,P,P
9,2015,BMW,2011,0,6,3000,1,52503,A,G,6,N,P,P
8,2015,NISSAN,2015,3375,4,2500,1,12624,A,G,6,N,P,P
5,2015,FORD,2003,4000,6,4000,3,129969,M,G,20,N,P,P
12,2015,CHEVROLET,1985,3500,8,5700,1,177591,A,G,3,Y,F,F
9,2015,GMC,1996,4250,6,4300,5,305640,A,G,20,N,P,P
4,2015,FORD,2004,6000,8,5400,4,140613,A,G,20,N,P,P
4,2015,SUBARU,2005,3875,4,2500,2,138715,A,G,6,N,P,P
7,2015,CHEVROLET,2011,3375,4,2200,1,34552,A,G,6,N,P,P
3,2015,CHEVROLET,2014,0,4,1400,1,12873,A,G,6,N,P,P
8,2015,TOYOTA,2014,5500,6,4000,3,15167,A,G,20,N,P,P
4,2015,TOYOTA,2002,3375,6,3000,1,71415,A,G,6,N,P,P
12,2015,CHRYSLER,2012,0,6,3600,1,29696,A,G,6,N,P,P
3,2015,MERCURY,2005,4500,8,4600,1,87559,A,G,6,N,P,P
6,2015,VOLKSWAGEN,2000,3250,4,1900,1,327542,M,D,6,N,P,P
3,2015,FORD,2002,5560,8,4600,4,142207,A,G,20,N,P,P
3,2015,HONDA,1996,2625,4,1600,1,110270,M,G,6,N,F,P
4,2015,HYUNDAI,2007,3125,4,2000,1,197555,A,G,6,N,P,P
8,2015,FORD,2014,7050,8,5000,3,13374,A,G,20,N,P,P
2,2015,FORD,2000,6250,6,4200,3,180968,M,G,20,N,P,P
11,2015,FORD,1993,4000,8,4600,1,119136,A,G,5,N,P,P
4,2015,CHEVROLET,2007,7000,8,5300,4,134186,A,G,20,N,P,P
10,2015,BUICK,1990,3125,6,3300,1,103170,A,G,4,N,P,P
3,2015,GMC,2002,4400,6,4300,3,162517,M,G,20,N,F,P
8,2015,TOYOTA,2012,6000,6,3500,4,62740,A,G,20,N,P,P
9,2015,HONDA,1994,3125,4,2200,1,143772,A,G,5,N,P,P
5,2015,TOYOTA,2008,5330,6,4000,4,148665,A,G,20,N,P,P
6,2015,MAZDA,2008,0,4,2300,2,64287,A,G,6,N,P,P
2,2015,FORD,2002,7200,8,5400,4,132772,A,G,20,N,P,P
4,2015,FORD,1998,2750,4,2000,1,164289,M,G,6,N,P,P
2,2015,BMW,2008,3500,6,3000,1,57254,A,G,6,N,P,P
1,2015,CHEVROLET,2000,6400,8,5300,3,260650,A,G,20,N,P,P
5,2015,FORD,1983,9001,8,5800,6,92322,A,G,18,N,P,P
7,2015,SUBARU,1992,2875,4,1800,1,132367,M,G,5,N,P,P
4,2015,CHEVROLET,2002,9200,8,8100,7,80169,A,G,20,N,P,P
10,2015,HYUNDAI,2008,3625,6,3300,1,78903,A,G,6,N,P,P
11,2015,KIA,2008,5898,6,3800,5,125578,A,G,20,N,P,P
12,2015,NISSAN,2005,4860,6,3500,4,168472,A,G,20,N,P,P
3,2015,FORD,2013,2875,4,2000,1,46816,A,G,6,N,P,P
9,2015,CHEVROLET,2002,2875,4,2200,1,135900,A,G,6,N,F,P
11,2015,NISSAN,2014,0,4,1600,1,42610,A,G,6,N,P,P
2,2015,FORD,2004,4500,6,4200,5,159197,A,G,20,N,P,P
2,2015,FORD,2010,6190,6,4000,4,120757,A,G,20,N,P,P
11,2015,DODGE,2005,5600,6,3300,5,130772,A,G,20,N,P,P
11,2015,CHEVROLET,2008,3375,6,3500,1,108592,A,G,6,N,P,P
1,2015,FORD,2000,4800,6,3000,3,107716,A,G,20,N,P,P
2,2015,FORD,1999,7200,8,5400,4,213078,A,G,20,N,P,P
8,2015,HYUNDAI,2009,5290,6,3300,4,68725,A,G,20,N,P,P
8,2015,LINCOLN,2007,7700,8,5400,4,125087,A,G,20,N,P,P
2,2015,NISSAN,2013,0,4,1600,1,42578,A,G,6,N,P,P
5,2015,INFINITI,2006,4250,8,4500,1,127274,A,G,6,N,P,P
10,2015,CHEVROLET,2001,6200,6,4300,3,237443,A,G,20,N,F,F
2,2015,BUICK,2000,3625,6,3100,1,52282,A,G,6,N,P,P
10,2015,MAZDA,2004,3000,4,2000,1,142192,M,G,6,N,P,P
8,2015,MERCEDES-BENZ,2010,0,6,3500,1,76134,A,G,6,N,P,P
5,2015,PONTIAC,2001,4000,6,3400,2,154632,A,G,6,N,F,P
6,2015,FORD,2007,3625,6,3000,1,77997,A,G,6,N,P,P
6,2015,FORD,2001,6300,8,5400,3,203767,A,G,20,N,F,F
9,2015,KIA,2013,3625,4,2400,1,40967,A,G,6,N,P,P
8,2015,TOYOTA,2002,0,6,3000,1,127904,A,G,6,N,P,P
7,2015,TOYOTA,2006,5350,4,2700,3,34420,M,G,20,N,P,P
11,2015,LEXUS,2010,0,8,4600,1,72519,A,G,6,N,P,P
4,2015,DODGE,2013,6050,6,3600,5,29671,A,G,20,N,P,P
1,2015,VOLKSWAGEN,1999,3000,4,2000,1,79440,A,G,6,N,P,P
8,2015,HONDA,2012,0,4,2400,1,42433,A,G,6,N,P,P
8,2015,CHRYSLER,2008,6450,8,5700,4,72411,A,G,20,N,P,P
9,2015,FORD,2008,6800,8,5400,3,112009,A,G,20,N,P,P
8,2015,CHEVROLET,2005,4500,5,3500,3,141106,A,G,20,N,P,P
8,2015,JEEP,2012,5300,6,3700,4,64092,A,G,20,N,P,P
10,2015,JEEP,1996,4900,6,4000,4,151970,A,G,20,N,P,P
1,2015,HYUNDAI,2012,3625,4,2400,1,35566,A,G,6,N,P,P
4,2015,DODGE,2010,0,6,3500,1,69897,A,G,6,N,P,P
5,2015,CHEVROLET,1994,2875,4,2200,1,184740,M,G,5,N,P,P
3,2015,JEEP,2000,5850,6,4000,4,127685,A,G,20,N,P,P
7,2015,MERCEDES-BENZ,2002,6614,8,5000,4,99322,A,G,20,N,P,P
2,2015,CHEVROLET,1998,3000,4,2200,1,117520,A,G,6,N,F,P
9,2015,PONTIAC,2004,3000,4,1800,2,169960,A,G,6,N,P,P
4,2015,VOLKSWAGEN,2013,3500,5,2500,1,38887,A,G,6,N,P,P
4,2015,CHEVROLET,1990,4450,4,2500,3,131831,A,G,10,N,F,P
5,2015,FORD,1999,6500,6,4200,3,169393,M,G,20,N,P,P
7,2015,HYUNDAI,2003,3625,6,2700,1,199288,A,G,6,N,P,P
10,2015,HONDA,2014,6096,6,3500,4,30900,A,G,20,N,P,P
7,2015,FORD,2011,7200,8,5000,3,19604,A,G,20,N,P,P
4,2015,MERCURY,1996,3625,6,3000,1,108084,A,G,6,N,P,P
4,2015,FORD,1999,6950,8,4600,3,170954,A,G,20,N,P,P
5,2015,DODGE,2015,0,8,5700,1,7894,M,G,6,N,P,P
11,2015,TOYOTA,2007,5580,6,4000,4,80720,A,G,20,N,P,P
4,2015,PONTIAC,2001,3250,4,2400,1,169969,A,G,6,N,F,P
1,2015,SUBARU,2014,4480,4,2500,4,14239,A,G,20,N,P,P
6,2015,HONDA,2014,0,4,2400,1,18507,A,G,6,N,P,P
5,2015,FORD,2014,4350,4,1600,4,31122,A,G,20,N,P,P
8,2015,NISSAN,1995,3250,4,2400,1,147515,M,G,5,N,F,P
9,2015,DODGE,2005,6100,8,5700,3,137248,A,G,20,N,P,P
4,2015,TOYOTA,2011,3500,6,3500,1,61358,A,G,6,N,P,P
8,2015,FORD,2003,6050,8,4600,3,146827,A,G,20,N,P,P
1,2015,CHEVROLET,2010,0,4,2200,1,82207,A,G,6,N,P,P
8,2015,NISSAN,2009,4250,6,4000,3,58578,A,G,20,N,P,P
9,2015,BUICK,1998,3750,6,3800,1,51392,A,G,6,N,P,P
3,2015,CHEVROLET,1999,3625,6,3800,1,145585,A,G,6,N,P,P
12,2015,DODGE,2004,2875,4,2000,1,47914,A,G,6,N,P,P
6,2015,CADILLAC,2008,7400,8,6200,4,81497,A,G,20,N,P,P
10,2015,LEXUS,2013,5650,6,3500,4,44022,A,G,20,N,P,P
6,2015,SATURN,2005,4894,6,3500,4,122094,A,G,20,N,P,P
5,2015,FORD,2011,6160,6,3500,4,84384,A,G,20,N,F,P
1,2015,DODGE,2014,10000,6,6700,7,30616,A,D,20,N,P,P
2,2015,CHEVROLET,2014,3750,6,3600,1,18124,A,G,6,N,P,P
7,2015,GMC,1986,6600,8,5000,3,47189,M,G,15,Y,F,P
5,2015,CHEVROLET,2008,0,4,2200,1,124199,A,G,6,N,P,P
5,2015,LEXUS,2012,0,6,3500,1,57210,A,G,6,Y,P,P
10,2015,TOYOTA,2005,5350,6,4000,3,141892,A,G,20,N,P,P
11,2015,HYUNDAI,2010,3125,4,2000,1,81762,A,G,6,N,P,P
2,2015,DODGE,2010,6050,6,3300,5,93879,A,G,20,N,P,P
5,2015,MAZDA,2005,3000,4,2300,1,119745,M,G,6,N,P,P
4,2015,FORD,2003,6100,8,5400,4,136710,A,G,20,N,P,P
11,2015,JEEP,1996,4900,6,4000,4,162311,A,G,20,N,F,P
9,2015,FORD,2004,3375,8,4600,1,19199,M,G,6,N,P,P
12,2015,HONDA,1999,3250,4,2300,1,161775,A,G,6,N,P,P
6,2015,PONTIAC,2001,3250,6,3400,1,112247,A,G,6,N,P,P
6,2015,FORD,2009,8800,8,5400,7,49357,A,G,20,N,P,P
5,2015,VOLVO,1994,3625,5,2300,2,216052,A,G,5,N,P,P
1,2015,GMC,2007,5000,8,4800,3,101016,A,G,20,N,P,P
7,2015,CHRYSLER,2013,0,4,2400,1,51870,A,G,6,N,P,P
8,2015,FORD,2003,5560,6,4000,4,138597,A,G,20,N,P,P
3,2015,HYUNDAI,2006,3625,6,3300,1,109732,A,G,6,N,P,P
8,2015,FORD,2004,6700,8,4600,3,85553,A,G,20,N,P,P
8,2015,FORD,2007,3375,6,4000,1,86291,A,G,6,N,P,P
1,2015,FORD,2010,7200,8,5400,3,7208,A,G,20,N,P,P
6,2015,DODGE,2003,5001,8,4700,4,174891,A,G,20,N,P,P
1,2015,TOYOTA,2003,2750,4,1800,1,44144,A,G,6,N,P,P
7,2015,MAZDA,2008,3000,4,2300,1,89870,M,G,6,N,P,P
3,2015,LINCOLN,1999,4250,8,4600,1,190568,A,G,6,N,P,P
6,2015,INFINITI,2007,3750,6,3500,1,73140,A,G,6,N,P,P
4,2015,CHEVROLET,2006,9600,8,5300,6,538789,A,G,20,N,P,P
4,2015,FORD,2001,9300,10,6800,6,98097,A,G,20,N,P,P
5,2015,NISSAN,2013,0,4,1600,1,10618,A,G,6,N,P,P
4,2015,MAZDA,2008,2750,4,2000,1,57437,A,G,6,N,P,P
2,2015,FORD,2007,5500,8,5400,6,71002,A,G,20,N,P,P
12,2015,FORD,1993,2625,4,1900,1,197174,A,G,5,N,F,F
11,2015,FORD,2013,2875,4,2000,1,28400,A,G,6,N,P,P
8,2015,DODGE,2003,9000,6,5900,7,102953,A,D,20,N,F,F
3,2015,TOYOTA,2000,4250,4,2400,3,126868,M,G,20,N,P,P
1,2015,FORD,2005,3625,6,3000,1,88093,A,G,6,N,P,P
3,2015,MITSUBISHI,2008,5346,6,3800,4,52679,A,G,20,N,P,P
5,2015,SCION,2008,2750,4,2400,2,141136,A,G,6,N,P,P
6,2015,CHEVROLET,2010,3375,4,2200,1,114807,A,G,6,N,P,P
12,2015,HONDA,2009,3500,4,2400,4,80468,A,G,20,N,P,P
2,2015,FORD,2000,6050,8,4600,3,124816,A,G,20,N,P,P
12,2015,TOYOTA,1994,2250,4,1500,1,176515,M,G,5,N,P,P
2,2015,CHEVROLET,2009,7300,8,5300,4,122002,A,G,20,N,P,P
2,2015,OLDSMOBILE,1998,3750,6,3800,1,210994,A,G,6,N,P,P
10,2015,FORD,2014,2875,4,2000,1,30670,A,G,6,N,P,P
6,2015,FORD,2006,3625,6,3000,1,71956,A,G,6,N,P,P
1,2015,BMW,2011,3750,8,4000,1,26074,M,G,6,N,P,P
2,2015,CHEVROLET,2004,3000,4,2200,1,86674,A,G,6,N,P,P
8,2015,FORD,2000,6200,8,5400,3,8888888,A,G,20,N,P,P
10,2015,FORD,2013,5380,6,3500,4,34608,A,G,20,N,P,P
6,2015,TOYOTA,2010,5450,6,4000,3,72796,A,G,20,N,P,P
5,2015,CHEVROLET,2013,0,4,2400,1,113336,A,G,6,N,P,P
4,2015,HONDA,2005,3625,4,2400,4,161391,A,G,20,N,P,P
6,2015,FORD,1988,5001,6,2900,3,27545,M,G,10,N,P,P
10,2015,CHEVROLET,2001,4600,4,2200,3,162442,A,G,20,N,P,P
12,2015,HONDA,2001,2750,4,1700,1,135406,M,G,6,N,F,P
6,2015,GMC,1999,7100,8,5700,4,184583,A,G,20,N,F,F
3,2015,HYUNDAI,2014,3625,4,2400,1,11060,A,G,6,N,P,P
7,2015,FORD,2004,3625,6,3000,1,118347,A,G,6,N,P,P
10,2015,CHRYSLER,2010,3375,4,2400,1,66312,A,G,6,N,P,P
9,2015,FORD,2010,7350,8,4600,3,43787,A,G,20,N,P,P
5,2015,TOYOTA,1989,3000,4,2000,2,217785,M,G,4,N,P,P
12,2015,CHEVROLET,2009,3375,4,2400,1,150825,A,G,6,N,P,P
4,2015,MERCEDES-BENZ,2012,0,4,1800,1,36237,A,G,6,N,P,P
1,2015,FORD,1999,8800,8,7300,7,175964,A,D,20,N,P,P
5,2015,BMW,2015,0,6,3000,1,2534,A,G,6,N,P,P
3,2015,CHEVROLET,2013,4825,4,2400,4,41562,A,G,20,N,P,P
6,2015,CHEVROLET,1990,4450,4,2500,3,117048,A,G,10,N,P,P
10,2015,DODGE,1995,6400,8,5200,3,232668,A,G,16,N,P,P
8,2015,TOYOTA,2004,3500,4,2400,1,168460,A,G,6,N,P,P
12,2015,TOYOTA,2008,2750,4,1800,1,87333,A,G,6,N,P,P
3,2015,FORD,1997,3625,6,3000,1,212504,A,G,6,N,P,P
1,2015,TOYOTA,1996,2750,4,1600,1,245786,M,G,6,N,P,P
4,2015,CHEVROLET,2003,3750,6,3400,1,66055,A,G,6,N,P,P
9,2015,TOYOTA,2003,3500,4,2400,1,181350,A,G,6,N,P,P
9,2015,MERCEDES-BENZ,2007,3625,6,2500,1,123169,A,G,6,N,P,P
12,2015,DODGE,2013,0,6,3600,1,51543,A,G,6,N,P,P
9,2015,BMW,2000,3500,6,2500,1,125385,A,G,6,N,P,P
